    0.00     0.05     0.10     0.04    -0.08     0.00     0.00     0.00     0.00     0.00     0.00
    0.06     0.00     0.03    -0.02    -0.05     0.00     0.00     0.00     0.00     0.00     0.00
    0.07    -0.00     0.00    -0.02     0.02     0.00     0.00     0.00     0.00     0.00     0.00
    0.12     0.09     0.01     0.00    -0.11     0.00     0.00     0.00     0.00     0.00     0.00
   -0.12     0.03     0.07     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00     0.00     0.00     0.00    -0.03     0.06    -0.02    -0.08     0.10
    0.00     0.00     0.00     0.00     0.00    -0.05     0.00     0.08    -0.01    -0.05     0.01
    0.00     0.00     0.00     0.00     0.00     0.03     0.02     0.00     0.03    -0.09     0.01
    0.00     0.00     0.00     0.00     0.00    -0.10     0.02     0.16     0.00    -0.12     0.11
    0.00     0.00     0.00     0.00     0.00    -0.20     0.07     0.08    -0.12     0.00     0.08
    0.00     0.00     0.00     0.00     0.00    -0.10     0.02     0.00    -0.01    -0.03     0.00
